asv	phylum	class	order	family	genus	species
ASV1363	p__Mortierellomycota	c__Mortierellomycetes	o__Mortierellales	f__Mortierellaceae	g__unclassified_f__Mortierellaceae	s__unclassified_f__Mortierellaceae
ASV3473	p__Basidiomycota	c__Agaricomycetes	o__Agaricales	f__Inocybaceae	g__Inocybe	s__Inocybe_salicis-herbaceae
ASV398	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Sclerotiniaceae	g__unclassified_f__Sclerotiniaceae	s__unclassified_f__Sclerotiniaceae
ASV2	p__Ascomycota	c__Dothideomycetes	o__unclassified_c__Dothideomycetes	f__unclassified_c__Dothideomycetes	g__unclassified_c__Dothideomycetes	s__unclassified_c__Dothideomycetes
ASV24	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Cordycipitaceae	g__Beauveria	s__Beauveria_pseudobassiana
ASV1550	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Melanommataceae	g__Alpinaria	s__Alpinaria_rhododendri
ASV4037	p__Basidiomycota	c__Agaricomycetes	o__Russulales	f__Russulaceae	g__Russula	s__unclassified_g__Russula
ASV6311	p__Basidiomycota	c__Agaricomycetes	o__Thelephorales	f__Thelephoraceae	g__Thelephoraceae_gen_Incertae_sedis	s__Thelephoraceae_sp
ASV5552	p__Basidiomycota	c__Agaricomycetes	o__Thelephorales	f__Thelephoraceae	g__Tomentella	s__Tomentella_stuposa
ASV2458	p__Ascomycota	c__Lecanoromycetes	o__Lecanorales	f__Porpidiaceae	g__Mycobilimbia	s__Mycobilimbia_microcarpa
ASV1521	p__Basidiomycota	c__Agaricomycetes	o__Cantharellales	f__Hydnaceae	g__Clavulina	s__Clavulina_rugosa
ASV39	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Didymellaceae	g__Didymella	s__unclassified_g__Didymella
ASV1549	p__Mortierellomycota	c__Mortierellomycetes	o__Mortierellales	f__Mortierellaceae	g__Linnemannia	s__Linnemannia_zychae
ASV60	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Melanommataceae	g__Pleotrichocladium	s__Pleotrichocladium_opacum
ASV1107	p__Basidiomycota	c__Agaricomycetes	o__Russulales	f__Russulaceae	g__Russula	s__unclassified_g__Russula
ASV755	p__Ascomycota	c__Eurotiomycetes	o__Chaetothyriales	f__Herpotrichiellaceae	g__unclassified_f__Herpotrichiellaceae	s__unclassified_f__Herpotrichiellaceae
ASV424	p__Ascomycota	c__Sordariomycetes	o__Coniochaetales	f__Coniochaetaceae	g__Coniochaeta	s__unclassified_g__Coniochaeta
ASV30	p__Ascomycota	c__Eurotiomycetes	o__Chaetothyriales	f__Herpotrichiellaceae	g__Exophiala	s__Exophiala_equina
ASV7871	p__Basidiomycota	c__Agaricomycetes	o__Thelephorales	f__Thelephoraceae	g__Thelephoraceae_gen_Incertae_sedis	s__Thelephoraceae_sp
ASV6140	p__Ascomycota	c__unclassified_p__Ascomycota	o__unclassified_p__Ascomycota	f__unclassified_p__Ascomycota	g__unclassified_p__Ascomycota	s__unclassified_p__Ascomycota
ASV6312	p__unclassified_k__Fungi	c__unclassified_k__Fungi	o__unclassified_k__Fungi	f__unclassified_k__Fungi	g__unclassified_k__Fungi	s__unclassified_k__Fungi
ASV2465	p__Basidiomycota	c__Agaricomycetes	o__Agaricales	f__Inocybaceae	g__Inocybe	s__Inocybe_venerabilis
ASV2508	p__Basidiomycota	c__Agaricomycetes	o__Agaricales	f__Cortinariaceae	g__Cortinarius	s__unclassified_g__Cortinarius
ASV8218	p__Basidiomycota	c__Agaricomycetes	o__Agaricales	f__Cortinariaceae	g__Cortinarius	s__unclassified_g__Cortinarius
ASV6	p__Ascomycota	c__Dothideomycetes	o__Capnodiales	f__Cladosporiaceae	g__Cladosporium	s__unclassified_g__Cladosporium
ASV2008	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Leptosphaeriaceae	g__Plenodomus	s__Plenodomus_lijiangensis
ASV2769	p__Basidiomycota	c__Agaricomycetes	o__Sebacinales	f__Sebacinaceae	g__Sebacina	s__Sebacina_sp
ASV1370	p__Ascomycota	c__Eurotiomycetes	o__Chaetothyriales	f__Trichomeriaceae	g__Knufia	s__unclassified_g__Knufia
ASV32	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Helotiaceae	g__Tetracladium_f__Helotiaceae	s__unclassified_g__Tetracladium_f__Helotiaceae
ASV6775	p__Basidiomycota	c__Agaricomycetes	o__Russulales	f__Russulaceae	g__Russula	s__Russula_exalbicans
ASV501	p__Ascomycota	c__Eurotiomycetes	o__Eurotiales	f__Aspergillaceae	g__Penicillium	s__unclassified_g__Penicillium
ASV641	p__Ascomycota	c__Eurotiomycetes	o__Chaetothyriales	f__Herpotrichiellaceae	g__Cladophialophora	s__Cladophialophora_chaetospira
ASV686	p__Mortierellomycota	c__Mortierellomycetes	o__Mortierellales	f__Mortierellaceae	g__unclassified_f__Mortierellaceae	s__unclassified_f__Mortierellaceae
ASV42	p__Basidiomycota	c__Tremellomycetes	o__Cystofilobasidiales	f__Mrakiaceae	g__Tausonia	s__Tausonia_pullulans
ASV6776	p__Basidiomycota	c__Agaricomycetes	o__Russulales	f__Russulaceae	g__Russula	s__Russula_exalbicans
ASV8028	p__Ascomycota	c__Lecanoromycetes	o__Lecanorales	f__Ramalinaceae	g__Bilimbia	s__Bilimbia_sabuletorum
ASV1190	p__Ascomycota	c__Pezizomycetes	o__Pezizales	f__Pyronemataceae	g__Pulvinula	s__Pulvinula_sp
ASV62	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Nectriaceae	g__Fusicolla	s__Fusicolla_ossicola
ASV6313	p__Basidiomycota	c__Agaricomycetes	o__Thelephorales	f__Thelephoraceae	g__Thelephoraceae_gen_Incertae_sedis	s__Thelephoraceae_sp
ASV8029	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Dermateaceae	g__Trichosporiella	s__Trichosporiella_cerebriformis
ASV2349	p__Ascomycota	c__Eurotiomycetes	o__Chaetothyriales	f__Herpotrichiellaceae	g__Capronia	s__Capronia_sp
ASV6314	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Helotiaceae	g__Crocicreas	s__Crocicreas_furvum
ASV3241	p__Ascomycota	c__Sordariomycetes	o__Coniochaetales	f__Coniochaetaceae	g__Coniochaeta	s__Coniochaeta_sp
ASV7632	p__Fungi_phy_Incertae_sedis	c__Fungi_cls_Incertae_sedis	o__Fungi_ord_Incertae_sedis	f__Fungi_fam_Incertae_sedis	g__Fungi_gen_Incertae_sedis	s__Fungi_sp
ASV3466	p__Basidiomycota	c__Agaricomycetes	o__Sebacinales	f__Serendipitaceae	g__unclassified_f__Serendipitaceae	s__unclassified_f__Serendipitaceae
ASV1569	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Calloriaceae	g__Polyphilus	s__Polyphilus_sieberi
ASV26	p__Basidiomycota	c__Tremellomycetes	o__Filobasidiales	f__Filobasidiaceae	g__Naganishia	s__unclassified_g__Naganishia
ASV1337	p__Mortierellomycota	c__Mortierellomycetes	o__Mortierellales	f__Mortierellaceae	g__Linnemannia	s__Linnemannia_zychae
ASV2459	p__Basidiomycota	c__Agaricomycetes	o__Cantharellales	f__Hydnaceae	g__Sistotrema	s__Sistotrema_eximum
ASV4816	p__Basidiomycota	c__Agaricomycetes	o__Sebacinales	f__Serendipitaceae	g__unclassified_f__Serendipitaceae	s__unclassified_f__Serendipitaceae
ASV5028	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Coniothyriaceae	g__Coniothyrium	s__unclassified_g__Coniothyrium
ASV38	p__Mortierellomycota	c__Mortierellomycetes	o__Mortierellales	f__Mortierellaceae	g__Podila	s__unclassified_g__Podila
ASV3932	p__Basidiomycota	c__Agaricomycetes	o__Agaricales	f__Hygrophoraceae	g__Hygrocybe	s__Hygrocybe_conica
ASV871	p__unclassified_k__Fungi	c__unclassified_k__Fungi	o__unclassified_k__Fungi	f__unclassified_k__Fungi	g__unclassified_k__Fungi	s__unclassified_k__Fungi
ASV7872	p__Basidiomycota	c__Agaricomycetes	o__Thelephorales	f__Thelephoraceae	g__Thelephoraceae_gen_Incertae_sedis	s__Thelephoraceae_sp
ASV636	p__Basidiomycota	c__Agaricomycetes	o__Agaricales	f__Cortinariaceae	g__Cortinarius	s__unclassified_g__Cortinarius
ASV6777	p__Basidiomycota	c__Agaricomycetes	o__Russulales	f__Russulaceae	g__Lactarius	s__Lactarius_aquizonatus
ASV7873	p__Basidiomycota	c__Agaricomycetes	o__Thelephorales	f__Thelephoraceae	g__Thelephoraceae_gen_Incertae_sedis	s__Thelephoraceae_sp
ASV47	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Didymellaceae	g__unclassified_f__Didymellaceae	s__unclassified_f__Didymellaceae
ASV92	p__Ascomycota	c__Eurotiomycetes	o__Chaetothyriales	f__Herpotrichiellaceae	g__Exophiala	s__unclassified_g__Exophiala
ASV99	p__Ascomycota	c__Eurotiomycetes	o__Chaetothyriales	f__Trichomeriaceae	g__Knufia	s__Knufia_tsunedae
ASV638	p__Ascomycota	c__Eurotiomycetes	o__Eurotiales	f__Aspergillaceae	g__Penicillium	s__unclassified_g__Penicillium
ASV2916	p__Basidiomycota	c__Agaricomycetes	o__Sebacinales	f__Serendipitaceae	g__Serendipita	s__Serendipita_sp
ASV6778	p__Basidiomycota	c__Agaricomycetes	o__Russulales	f__Russulaceae	g__Lactarius	s__Lactarius_aquizonatus
ASV79	p__Ascomycota	c__Sordariomycetes	o__Xylariales	f__Bartaliniaceae	g__Truncatella	s__unclassified_g__Truncatella
ASV5018	p__Fungi_phy_Incertae_sedis	c__Fungi_cls_Incertae_sedis	o__Fungi_ord_Incertae_sedis	f__Fungi_fam_Incertae_sedis	g__Fungi_gen_Incertae_sedis	s__Fungi_sp
ASV748	p__Mortierellomycota	c__Mortierellomycetes	o__Mortierellales	f__Mortierellaceae	g__Linnemannia	s__unclassified_g__Linnemannia
ASV28	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Nectriaceae	g__Neonectria	s__unclassified_g__Neonectria
ASV1625	p__Ascomycota	c__Sordariomycetes	o__Coniochaetales	f__Coniochaetaceae	g__Coniochaeta	s__Coniochaeta_sp
ASV2342	p__Ascomycota	c__Eurotiomycetes	o__Chaetothyriales	f__Herpotrichiellaceae	g__Capronia	s__Capronia_sp
ASV2184	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Pleosporaceae	g__Drechslera	s__Drechslera_sp
ASV7874	p__Basidiomycota	c__Agaricomycetes	o__Thelephorales	f__Thelephoraceae	g__Thelephoraceae_gen_Incertae_sedis	s__Thelephoraceae_sp
ASV8	p__Basidiomycota	c__Agaricomycetes	o__Sebacinales	f__Sebacinaceae	g__Sebacinaceae_gen_Incertae_sedis	s__Sebacinaceae_sp
ASV4795	p__Basidiomycota	c__Agaricomycetes	o__Agaricales	f__Inocybaceae	g__Inocybe	s__Inocybe_johannae
ASV2945	p__Mortierellomycota	c__Mortierellomycetes	o__Mortierellales	f__Mortierellaceae	g__Linnemannia	s__unclassified_g__Linnemannia
ASV5346	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Calloriaceae	g__Polyphilus	s__Polyphilus_sieberi
ASV889	p__Basidiomycota	c__Agaricomycetes	o__Agaricales	f__Inocybaceae	g__Inocybe	s__unclassified_g__Inocybe
ASV5019	p__Fungi_phy_Incertae_sedis	c__Fungi_cls_Incertae_sedis	o__Fungi_ord_Incertae_sedis	f__Fungi_fam_Incertae_sedis	g__Fungi_gen_Incertae_sedis	s__Fungi_sp
ASV961	p__Ascomycota	c__Sordariomycetes	o__Sordariales	f__Chaetomiaceae	g__Humicola	s__Humicola_marvinii
ASV240	p__Ascomycota	c__Leotiomycetes	o__Thelebolales	f__Pseudeurotiaceae	g__Pseudogymnoascus	s__Pseudogymnoascus_roseus
ASV2460	p__Ascomycota	c__Sordariomycetes	o__Xylariales	f__Xylariaceae	g__Pseudoanthostomella	s__Pseudoanthostomella_pini-nigrae
ASV2930	p__Mortierellomycota	c__Mortierellomycetes	o__Mortierellales	f__Mortierellaceae	g__Mortierella	s__Mortierella_longigemmata
ASV1590	p__Ascomycota	c__Eurotiomycetes	o__Chaetothyriales	f__Herpotrichiellaceae	g__Cladophialophora	s__unclassified_g__Cladophialophora
ASV57	p__Ascomycota	c__Dothideomycetes	o__Botryosphaeriales	f__Botryosphaeriales_fam_Incertae_sedis	g__Botryosphaeriales_gen_Incertae_sedis	s__Botryosphaeriales_sp
ASV50	p__Mortierellomycota	c__Mortierellomycetes	o__Mortierellales	f__Mortierellaceae	g__Linnemannia	s__Linnemannia_gamsii
ASV1741	p__Basidiomycota	c__Agaricomycetes	o__Sebacinales	f__Serendipitaceae	g__Serendipita	s__Serendipita_sp
ASV1599	p__Basidiomycota	c__Agaricomycetes	o__Cantharellales	f__Ceratobasidiaceae	g__Rhizoctonia	s__Rhizoctonia_globularis
ASV75	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Melanommataceae	g__Melanommataceae_gen_Incertae_sedis	s__Melanommataceae_sp
ASV8030	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__unclassified_o__Pleosporales	g__unclassified_o__Pleosporales	s__unclassified_o__Pleosporales
ASV2344	p__Ascomycota	c__Dothideomycetes	o__unclassified_c__Dothideomycetes	f__unclassified_c__Dothideomycetes	g__unclassified_c__Dothideomycetes	s__unclassified_c__Dothideomycetes
ASV4796	p__Basidiomycota	c__Agaricomycetes	o__Sebacinales	f__Serendipitaceae	g__unclassified_f__Serendipitaceae	s__unclassified_f__Serendipitaceae
ASV3508	p__Ascomycota	c__Sordariomycetes	o__Xylariales	f__Apiosporaceae	g__Arthrinium	s__Arthrinium_sporophleum
ASV3149	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Hyaloscyphaceae	g__Lachnellula	s__Lachnellula_fuscosanguinea
ASV5553	p__Basidiomycota	c__Agaricomycetes	o__Thelephorales	f__Thelephoraceae	g__Tomentella	s__Tomentella_fuscocinerea
ASV1276	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Didymellaceae	g__Paraboeremia	s__Paraboeremia_litseae
ASV55	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Nectriaceae	g__Dactylonectria	s__unclassified_g__Dactylonectria
ASV645	p__Basidiomycota	c__Agaricomycetes	o__Russulales	f__Russulaceae	g__Russula	s__Russula_acrifolia
ASV90	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Dermateaceae	g__Trichosporiella	s__Trichosporiella_cerebriformis
ASV241	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Nectriaceae	g__Ilyonectria	s__unclassified_g__Ilyonectria
ASV2962	p__Ascomycota	c__Dothideomycetes	o__Minutisphaerales	f__Minutisphaeraceae	g__Minutisphaera	s__Minutisphaera_sp
ASV6910	p__Ascomycota	c__Eurotiomycetes	o__Verrucariales	f__Verrucariales_fam_Incertae_sedis	g__Verrucariales_gen_Incertae_sedis	s__Verrucariales_sp
ASV2917	p__unclassified_k__Fungi	c__unclassified_k__Fungi	o__unclassified_k__Fungi	f__unclassified_k__Fungi	g__unclassified_k__Fungi	s__unclassified_k__Fungi
ASV3234	p__Basidiomycota	c__Agaricomycetes	o__Sebacinales	f__Sebacinaceae	g__Sebacinaceae_gen_Incertae_sedis	s__Sebacinaceae_sp
ASV6315	p__Basidiomycota	c__Agaricomycetes	o__Thelephorales	f__Thelephoraceae	g__Thelephoraceae_gen_Incertae_sedis	s__Thelephoraceae_sp
ASV2534	p__Ascomycota	c__Dothideomycetes	o__Mycosphaerellales	f__Teratosphaeriaceae	g__Capnocheirides	s__Capnocheirides_sp
ASV5771	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Leotiaceae	g__Gorgomyces	s__Gorgomyces_sp
ASV7875	p__Basidiomycota	c__Agaricomycetes	o__Thelephorales	f__Thelephoraceae	g__Thelephoraceae_gen_Incertae_sedis	s__Thelephoraceae_sp
ASV5047	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Nectriaceae	g__Fusarium	s__unclassified_g__Fusarium
ASV5774	p__unclassified_k__Fungi	c__unclassified_k__Fungi	o__unclassified_k__Fungi	f__unclassified_k__Fungi	g__unclassified_k__Fungi	s__unclassified_k__Fungi
ASV6779	p__Basidiomycota	c__Agaricomycetes	o__Russulales	f__Russulaceae	g__Russula	s__Russula_roseonigra
ASV3387	p__Ascomycota	c__Eurotiomycetes	o__Verrucariales	f__Verrucariales_fam_Incertae_sedis	g__Verrucariales_gen_Incertae_sedis	s__Verrucariales_sp
ASV89	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Calloriaceae	g__Polyphilus	s__Polyphilus_sieberi
ASV1729	p__Basidiomycota	c__Agaricomycetes	o__Sebacinales	f__Serendipitaceae	g__unclassified_f__Serendipitaceae	s__unclassified_f__Serendipitaceae
ASV6809	p__Basidiomycota	c__Agaricomycetes	o__Sebacinales	f__Sebacinaceae	g__Sebacina	s__unclassified_g__Sebacina
ASV4797	p__Basidiomycota	c__Microbotryomycetes	o__Sporidiobolales	f__Sporidiobolaceae	g__Sporobolomyces	s__Sporobolomyces_sp
ASV5312	p__Basidiomycota	c__Microbotryomycetes	o__Microbotryomycetes_ord_Incertae_sedis	f__Microbotryomycetes_fam_Incertae_sedis	g__Curvibasidium	s__Curvibasidium_sp
ASV22	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Didymellaceae	g__Leptosphaerulina	s__unclassified_g__Leptosphaerulina
ASV2227	p__Ascomycota	c__Dothideomycetes	o__Mycosphaerellales	f__Mycosphaerellaceae	g__Septoria	s__unclassified_g__Septoria
ASV6911	p__Ascomycota	c__Archaeorhizomycetes	o__Archaeorhizomycetales	f__Archaeorhizomycetaceae	g__Archaeorhizomyces	s__Archaeorhizomyces_sp
ASV3441	p__Basidiomycota	c__Agaricomycetes	o__Sebacinales	f__Sebacinaceae	g__Sebacina	s__Sebacina_sp
ASV2461	p__Ascomycota	c__Candelariomycetes	o__Candelariales	f__Pycnoraceae	g__Pycnora	s__Pycnora_sp
ASV1353	p__Basidiomycota	c__Agaricomycetes	o__Boletales	f__Astraeaceae	g__Astraeus	s__Astraeus_koreanus
ASV1573	p__Ascomycota	c__Dothideomycetes	o__Mycosphaerellales	f__Teratosphaeriaceae	g__Oleoguttula	s__Oleoguttula_mirabilis
ASV111	p__Ascomycota	c__Eurotiomycetes	o__Chaetothyriales	f__Trichomeriaceae	g__Knufia	s__Knufia_tsunedae
ASV4197	p__Basidiomycota	c__Agaricomycetes	o__Agaricales	f__Cortinariaceae	g__Cortinarius	s__unclassified_g__Cortinarius
ASV93	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Nectriaceae	g__Thelonectria	s__Thelonectria_veuillotiana
ASV250	p__Ascomycota	c__Archaeorhizomycetes	o__Archaeorhizomycetales	f__Archaeorhizomycetaceae	g__Archaeorhizomyces	s__Archaeorhizomyces_sp
ASV13	p__Ascomycota	c__Leotiomycetes	o__Thelebolales	f__Thelebolaceae	g__Thelebolus	s__Thelebolus_globosus
ASV1224	p__unclassified_k__Fungi	c__unclassified_k__Fungi	o__unclassified_k__Fungi	f__unclassified_k__Fungi	g__unclassified_k__Fungi	s__unclassified_k__Fungi
ASV8031	p__Basidiomycota	c__Agaricomycetes	o__Sebacinales	f__Serendipitaceae	g__unclassified_f__Serendipitaceae	s__unclassified_f__Serendipitaceae
ASV637	p__Ascomycota	c__unclassified_p__Ascomycota	o__unclassified_p__Ascomycota	f__unclassified_p__Ascomycota	g__unclassified_p__Ascomycota	s__unclassified_p__Ascomycota
ASV7876	p__Basidiomycota	c__Agaricomycetes	o__Agaricales	f__unclassified_o__Agaricales	g__unclassified_o__Agaricales	s__unclassified_o__Agaricales
ASV4	p__unclassified_k__Fungi	c__unclassified_k__Fungi	o__unclassified_k__Fungi	f__unclassified_k__Fungi	g__unclassified_k__Fungi	s__unclassified_k__Fungi
ASV1591	p__Ascomycota	c__Dothideomycetes	o__Mycosphaerellales	f__Teratosphaeriaceae	g__Oleoguttula	s__Oleoguttula_sp
ASV8032	p__Ascomycota	c__Dothideomycetes	o__Mycosphaerellales	f__Extremaceae	g__unclassified_f__Extremaceae	s__unclassified_f__Extremaceae
ASV1542	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Melanommataceae	g__unclassified_f__Melanommataceae	s__unclassified_f__Melanommataceae
ASV5772	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Leotiaceae	g__unclassified_f__Leotiaceae	s__unclassified_f__Leotiaceae
ASV2009	p__unclassified_k__Fungi	c__unclassified_k__Fungi	o__unclassified_k__Fungi	f__unclassified_k__Fungi	g__unclassified_k__Fungi	s__unclassified_k__Fungi
ASV5773	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Dermateaceae	g__Trichosporiella	s__Trichosporiella_cerebriformis
ASV1605	p__Basidiomycota	c__Agaricomycetes	o__Cantharellales	f__Ceratobasidiaceae	g__Rhizoctonia	s__Rhizoctonia_globularis
ASV488	p__Basidiomycota	c__Microbotryomycetes	o__Sporidiobolales	f__Sporidiobolaceae	g__Rhodosporidiobolus	s__Rhodosporidiobolus_colostri
ASV211	p__unclassified_k__Fungi	c__unclassified_k__Fungi	o__unclassified_k__Fungi	f__unclassified_k__Fungi	g__unclassified_k__Fungi	s__unclassified_k__Fungi
ASV152	p__Ascomycota	c__Pezizomycetes	o__Pezizales	f__Pyronemataceae	g__Geopora	s__Geopora_sp
ASV3933	p__Basidiomycota	c__Agaricomycetes	o__Sebacinales	f__Serendipitaceae	g__Serendipita	s__Serendipita_sp
ASV2914	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Hyaloscyphaceae	g__Calycina	s__Calycina_discreta
ASV6912	p__Ascomycota	c__Archaeorhizomycetes	o__Archaeorhizomycetales	f__Archaeorhizomycetaceae	g__Archaeorhizomyces	s__Archaeorhizomyces_sp
ASV5020	p__Fungi_phy_Incertae_sedis	c__Fungi_cls_Incertae_sedis	o__Fungi_ord_Incertae_sedis	f__Fungi_fam_Incertae_sedis	g__Fungi_gen_Incertae_sedis	s__Fungi_sp
ASV1466	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__unclassified_o__Helotiales	g__unclassified_o__Helotiales	s__unclassified_o__Helotiales
ASV1592	p__Ascomycota	c__Dothideomycetes	o__Mycosphaerellales	f__Teratosphaeriaceae	g__Oleoguttula	s__Oleoguttula_mirabilis
ASV97	p__Basidiomycota	c__Tremellomycetes	o__Filobasidiales	f__Piskurozymaceae	g__Solicoccozyma	s__Solicoccozyma_terrea
ASV5022	p__Basidiomycota	c__Agaricomycetes	o__Trechisporales	f__Hydnodontaceae	g__Trechispora	s__Trechispora_sp
ASV1239	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Didymellaceae	g__unclassified_f__Didymellaceae	s__unclassified_f__Didymellaceae
ASV4825	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__unclassified_o__Helotiales	g__unclassified_o__Helotiales	s__unclassified_o__Helotiales
